geneId,sampleId,expression,celltype,cell Type Description,cell_lineage,tissue,treatment,immunophenotype,species,strain,sampleCode,RNA.Id,batch,firstPublished,cellOrder,gene_symbol
ENSMUSG00000000552,MegTPO.1,7833,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Zfp385a
ENSMUSG00000000782,MegTPO.1,3,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Tcf7
ENSMUSG00000000861,MegTPO.1,414,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Bcl11a
ENSMUSG00000001156,MegTPO.1,3078,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Mxd1
ENSMUSG00000001444,MegTPO.1,0,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Tbx21
ENSMUSG00000002111,MegTPO.1,1736,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Spi1
ENSMUSG00000003032,MegTPO.1,10,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Klf4
ENSMUSG00000003545,MegTPO.1,11,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Fosb
ENSMUSG00000005583,MegTPO.1,13761,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Mef2c
ENSMUSG00000008193,MegTPO.1,1,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Spib
ENSMUSG00000008496,MegTPO.1,151,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Pou2f2
ENSMUSG00000015053,MegTPO.1,11251,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Gata2
ENSMUSG00000015846,MegTPO.1,14,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Rxra
ENSMUSG00000018168,MegTPO.1,0,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Ikzf3
ENSMUSG00000018983,MegTPO.1,57,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,E2f2
ENSMUSG00000019982,MegTPO.1,905,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Myb
ENSMUSG00000021250,MegTPO.1,41,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Fos
ENSMUSG00000021356,MegTPO.1,0,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Irf4
ENSMUSG00000022508,MegTPO.1,77,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Bcl6
ENSMUSG00000022528,MegTPO.1,945,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Hes1
ENSMUSG00000023034,MegTPO.1,96,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Nr4a1
ENSMUSG00000023927,MegTPO.1,71,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Satb1
ENSMUSG00000025997,MegTPO.1,501,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Ikzf2
ENSMUSG00000026628,MegTPO.1,329,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Atf3
ENSMUSG00000026815,MegTPO.1,4551,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Gfi1b
ENSMUSG00000027230,MegTPO.1,1007,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Creb3l1
ENSMUSG00000028717,MegTPO.1,14423,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Tal1
ENSMUSG00000029135,MegTPO.1,1008,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Fosl2
ENSMUSG00000029275,MegTPO.1,0,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Gfi1
ENSMUSG00000029771,MegTPO.1,84,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Irf5
ENSMUSG00000030103,MegTPO.1,2945,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Bhlhe40
ENSMUSG00000031162,MegTPO.1,5621,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Gata1
ENSMUSG00000032035,MegTPO.1,297,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Ets1
ENSMUSG00000032053,MegTPO.1,0,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Pou2af1
ENSMUSG00000032496,MegTPO.1,13,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Ltf
ENSMUSG00000034041,MegTPO.1,7341,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Lyl1
ENSMUSG00000034271,MegTPO.1,481,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Jdp2
ENSMUSG00000034957,MegTPO.1,155,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Cebpa
ENSMUSG00000037992,MegTPO.1,9,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Rara
ENSMUSG00000038151,MegTPO.1,60,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Prdm1
ENSMUSG00000039153,MegTPO.1,248,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Runx2
ENSMUSG00000039377,MegTPO.1,181,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Hlx
ENSMUSG00000040270,MegTPO.1,46,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Bach2
ENSMUSG00000040732,MegTPO.1,150,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Erg
ENSMUSG00000041420,MegTPO.1,3,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Meis3
ENSMUSG00000041515,MegTPO.1,28,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Irf8
ENSMUSG00000046179,MegTPO.1,2729,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,E2f8
ENSMUSG00000046668,MegTPO.1,2913,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Cxxc5
ENSMUSG00000049577,MegTPO.1,17170,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Zfpm1
ENSMUSG00000052435,MegTPO.1,2,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Cebpe
ENSMUSG00000055148,MegTPO.1,396,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Klf2
ENSMUSG00000055435,MegTPO.1,145,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Maf
ENSMUSG00000056501,MegTPO.1,1172,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Cebpb
ENSMUSG00000056749,MegTPO.1,401,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Nfil3
ENSMUSG00000058794,MegTPO.1,14521,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Nfe2
ENSMUSG00000058881,MegTPO.1,56,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Zfp516
ENSMUSG00000066456,MegTPO.1,654,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Hmgn3
ENSMUSG00000071637,MegTPO.1,213,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1338,1338,CAGRF7658,,2,Cebpd
ENSMUSG00000000552,MegTPO.2,7714,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Zfp385a
ENSMUSG00000000782,MegTPO.2,1,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Tcf7
ENSMUSG00000000861,MegTPO.2,541,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Bcl11a
ENSMUSG00000001156,MegTPO.2,2335,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Mxd1
ENSMUSG00000001444,MegTPO.2,0,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Tbx21
ENSMUSG00000002111,MegTPO.2,1591,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Spi1
ENSMUSG00000003032,MegTPO.2,13,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Klf4
ENSMUSG00000003545,MegTPO.2,10,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Fosb
ENSMUSG00000005583,MegTPO.2,15886,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Mef2c
ENSMUSG00000008193,MegTPO.2,5,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Spib
ENSMUSG00000008496,MegTPO.2,83,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Pou2f2
ENSMUSG00000015053,MegTPO.2,11345,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Gata2
ENSMUSG00000015846,MegTPO.2,30,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Rxra
ENSMUSG00000018168,MegTPO.2,0,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Ikzf3
ENSMUSG00000018983,MegTPO.2,83,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,E2f2
ENSMUSG00000019982,MegTPO.2,1013,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Myb
ENSMUSG00000021250,MegTPO.2,39,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Fos
ENSMUSG00000021356,MegTPO.2,0,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Irf4
ENSMUSG00000022508,MegTPO.2,102,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Bcl6
ENSMUSG00000022528,MegTPO.2,1234,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Hes1
ENSMUSG00000023034,MegTPO.2,113,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Nr4a1
ENSMUSG00000023927,MegTPO.2,59,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Satb1
ENSMUSG00000025997,MegTPO.2,491,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Ikzf2
ENSMUSG00000026628,MegTPO.2,289,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Atf3
ENSMUSG00000026815,MegTPO.2,4691,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Gfi1b
ENSMUSG00000027230,MegTPO.2,1054,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Creb3l1
ENSMUSG00000028717,MegTPO.2,14791,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Tal1
ENSMUSG00000029135,MegTPO.2,1074,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Fosl2
ENSMUSG00000029275,MegTPO.2,1,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Gfi1
ENSMUSG00000029771,MegTPO.2,59,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Irf5
ENSMUSG00000030103,MegTPO.2,2644,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Bhlhe40
ENSMUSG00000031162,MegTPO.2,5388,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Gata1
ENSMUSG00000032035,MegTPO.2,301,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Ets1
ENSMUSG00000032053,MegTPO.2,0,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Pou2af1
ENSMUSG00000032496,MegTPO.2,18,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Ltf
ENSMUSG00000034041,MegTPO.2,6788,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Lyl1
ENSMUSG00000034271,MegTPO.2,427,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Jdp2
ENSMUSG00000034957,MegTPO.2,202,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Cebpa
ENSMUSG00000037992,MegTPO.2,10,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Rara
ENSMUSG00000038151,MegTPO.2,73,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Prdm1
ENSMUSG00000039153,MegTPO.2,233,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Runx2
ENSMUSG00000039377,MegTPO.2,225,MegTPO,Megakaryocyte fromTPO culture,Megakaryocyte Lineage,BM,day 3 BM culture with TPO,Lin:- cKit:+ Sca1:- CD150:+,Murine,C57BL/6,CAGRF7658.1339,1339,CAGRF7658,,2,Hlx
